Date : 2025-04-29 18:04:16
Directory : /Applications/XAMPP/xamppfiles/htdocs/job_portal
Total : 263 files,  192795 codes, 1955 comments, 2924 blanks, all 197674 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |         41 |    148,598 |          2 |        135 |    148,735 |
| CSS        |         14 |     24,169 |        195 |        634 |     24,998 |
| JSON       |         25 |      9,130 |          0 |          3 |      9,133 |
| PHP        |        158 |      8,797 |      1,669 |      2,045 |     12,511 |
| HTML       |          2 |      2,006 |          0 |         62 |      2,068 |
| JavaScript |         22 |         50 |         89 |         23 |        162 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        263 |    192,795 |      1,955 |      2,924 |    197,674 |
| . (Files)                                                                                                                             |          6 |      9,193 |          2 |         28 |      9,223 |
| app                                                                                                                                   |         47 |      2,186 |        575 |        808 |      3,569 |
| app/Console                                                                                                                           |          2 |         35 |         21 |         15 |         71 |
| app/Console (Files)                                                                                                                   |          1 |         16 |          7 |          7 |         30 |
| app/Console/Commands                                                                                                                  |          1 |         19 |         14 |          8 |         41 |
| app/Exceptions                                                                                                                        |          1 |         17 |          9 |          5 |         31 |
| app/Http                                                                                                                              |         26 |      1,767 |        456 |        650 |      2,873 |
| app/Http (Files)                                                                                                                      |          1 |         43 |         21 |          7 |         71 |
| app/Http/Controllers                                                                                                                  |         14 |      1,590 |        370 |        592 |      2,552 |
| app/Http/Controllers (Files)                                                                                                          |          7 |      1,119 |        222 |        411 |      1,752 |
| app/Http/Controllers/Admin                                                                                                            |          6 |        464 |        147 |        177 |        788 |
| app/Http/Controllers/company 12-54-38-089                                                                                             |          1 |          7 |          1 |          4 |         12 |
| app/Http/Middleware                                                                                                                   |         11 |        134 |         65 |         51 |        250 |
| app/Mail                                                                                                                              |          2 |         66 |         28 |         16 |        110 |
| app/Models                                                                                                                            |         11 |        219 |         18 |         93 |        330 |
| app/Providers                                                                                                                         |          5 |         82 |         43 |         29 |        154 |
| bootstrap                                                                                                                             |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                                |         15 |        540 |        773 |        243 |      1,556 |
| database                                                                                                                              |         31 |        648 |        152 |        147 |        947 |
| database/factories                                                                                                                    |          3 |         49 |         30 |         14 |         93 |
| database/migrations                                                                                                                   |         27 |        588 |        113 |        126 |        827 |
| database/seeders                                                                                                                      |          1 |         11 |          9 |          7 |         27 |
| public                                                                                                                                |         73 |    174,786 |        289 |        853 |    175,928 |
| public (Files)                                                                                                                        |          1 |         14 |         30 |         12 |         56 |
| public/assets                                                                                                                         |         36 |     87,379 |        129 |        420 |     87,928 |
| public/assets 12.16.46                                                                                                                |         36 |     87,393 |        130 |        421 |     87,944 |
| public/assets 12.16.46/css                                                                                                            |          5 |     11,761 |         97 |        286 |     12,144 |
| public/assets 12.16.46/fonts                                                                                                          |         22 |     75,617 |          0 |        129 |     75,746 |
| public/assets 12.16.46/fonts/fontello                                                                                                 |          1 |         58 |          0 |         47 |        105 |
| public/assets 12.16.46/fonts/inter                                                                                                    |          2 |      1,333 |          0 |         62 |      1,395 |
| public/assets 12.16.46/fonts/mont                                                                                                     |         18 |     74,213 |          0 |         18 |     74,231 |
| public/assets 12.16.46/fonts/slick                                                                                                    |          1 |         13 |          0 |          2 |         15 |
| public/assets 12.16.46/js                                                                                                             |          9 |         15 |         33 |          6 |         54 |
| public/assets/css                                                                                                                     |          5 |     11,747 |         96 |        285 |     12,128 |
| public/assets/fonts                                                                                                                   |         22 |     75,617 |          0 |        129 |     75,746 |
| public/assets/fonts/fontello                                                                                                          |          1 |         58 |          0 |         47 |        105 |
| public/assets/fonts/inter                                                                                                             |          2 |      1,333 |          0 |         62 |      1,395 |
| public/assets/fonts/mont                                                                                                              |         18 |     74,213 |          0 |         18 |     74,231 |
| public/assets/fonts/slick                                                                                                             |          1 |         13 |          0 |          2 |         15 |
| public/assets/js                                                                                                                      |          9 |         15 |         33 |          6 |         54 |
| resources                                                                                                                             |         58 |      5,207 |         74 |        741 |      6,022 |
| resources/css                                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| resources/js                                                                                                                          |          2 |          4 |         23 |          8 |         35 |
| resources/views                                                                                                                       |         55 |      5,203 |         51 |        732 |      5,986 |
| resources/views (Files)                                                                                                               |          3 |        144 |          0 |         28 |        172 |
| resources/views/Admin                                                                                                                 |         17 |      1,442 |          3 |        171 |      1,616 |
| resources/views/Admin (Files)                                                                                                         |          2 |        162 |          0 |         17 |        179 |
| resources/views/Admin/categories                                                                                                      |          3 |        193 |          0 |         25 |        218 |
| resources/views/Admin/companies                                                                                                       |          1 |         85 |          0 |         12 |         97 |
| resources/views/Admin/job-applications                                                                                                |          1 |        106 |          0 |          5 |        111 |
| resources/views/Admin/job_types                                                                                                       |          3 |        187 |          0 |         21 |        208 |
| resources/views/Admin/jobs                                                                                                            |          5 |        489 |          3 |         66 |        558 |
| resources/views/Admin/users                                                                                                           |          2 |        220 |          0 |         25 |        245 |
| resources/views/Auth                                                                                                                  |          1 |         36 |          0 |         10 |         46 |
| resources/views/company 12-38-15-076                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| resources/views/email                                                                                                                 |          2 |        113 |          0 |         10 |        123 |
| resources/views/front                                                                                                                 |         31 |      3,468 |         48 |        512 |      4,028 |
| resources/views/front (Files)                                                                                                         |          5 |        698 |          5 |        122 |        825 |
| resources/views/front/account                                                                                                         |         24 |      2,532 |         43 |        347 |      2,922 |
| resources/views/front/account (Files)                                                                                                 |         17 |      1,543 |         28 |        248 |      1,819 |
| resources/views/front/account/job                                                                                                     |          7 |        989 |         15 |         99 |      1,103 |
| resources/views/front/layouts                                                                                                         |          1 |        137 |          0 |         28 |        165 |
| resources/views/front/reviews                                                                                                         |          1 |        101 |          0 |         15 |        116 |
| routes                                                                                                                                |          4 |        148 |         48 |         75 |        271 |
| tests                                                                                                                                 |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                                                         |          2 |         20 |          3 |         10 |         33 |
| tests/Feature                                                                                                                         |          1 |         11 |          4 |          5 |         20 |
| tests/Unit                                                                                                                            |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                                                |         24 |         29 |          2 |          1 |         32 |
| vendor/mpdf                                                                                                                           |         22 |         22 |          0 |          0 |         22 |
| vendor/mpdf/mpdf                                                                                                                      |         22 |         22 |          0 |          0 |         22 |
| vendor/mpdf/mpdf/tmp                                                                                                                  |         22 |         22 |          0 |          0 |         22 |
| vendor/mpdf/mpdf/tmp/mpdf                                                                                                             |         22 |         22 |          0 |          0 |         22 |
| vendor/mpdf/mpdf/tmp/mpdf/ttfontdata                                                                                                  |         22 |         22 |          0 |          0 |         22 |
| vendor/spatie                                                                                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition                                                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition/resources                                                                                                      |          2 |          7 |          2 |          1 |         10 |
| vendor/spatie/ignition/resources/compiled                                                                                             |          2 |          7 |          2 |          1 |         10 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Applications/XAMPP/xamppfiles/htdocs/job_portal/README.md                                                                            | Markdown   |         45 |          0 |         22 |         67 |
| /Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Console/Commands/RemoveExpiredFeaturedJobs.php                                   | PHP        |         19 |         14 |          8 |         41 |
| /Applications/XAMPP/xamppfiles/htdocs/job_portal/app/Console/Kernel.php                                                               | PHP        |         16 |          7 |          7 |         30 |
